,Timestamp,Temperature,Temperature1,Temperature2,Temperature3,Temperature4,T Since Start
0,2019-08-01 12:39:17.083207,"29.69,29.39,28.30,29.08,1",29.69,29.39,28.30,29.08,1
1,2019-08-01 12:39:17.198141,"29.72,29.39,28.30,29.12,1001",29.72,29.39,28.30,29.12,1001
2,2019-08-01 12:39:17.266102,"29.72,29.35,28.30,29.12,2001",29.72,29.35,28.30,29.12,2001
3,2019-08-01 12:39:17.329068,"29.72,29.35,28.34,29.12,3001",29.72,29.35,28.34,29.12,3001
4,2019-08-01 12:39:17.439004,"29.72,29.35,28.30,29.12,4001",29.72,29.35,28.30,29.12,4001
5,2019-08-01 12:39:17.600911,"29.72,29.35,28.30,29.12,5001",29.72,29.35,28.30,29.12,5001
6,2019-08-01 12:39:17.739832,"29.69,29.35,28.30,29.08,6001",29.69,29.35,28.30,29.08,6001
7,2019-08-01 12:39:17.885748,"29.72,29.35,28.27,29.15,7001",29.72,29.35,28.27,29.15,7001
8,2019-08-01 12:39:18.032664,"29.69,29.35,28.30,29.15,8001",29.69,29.35,28.30,29.15,8001
9,2019-08-01 12:39:18.189576,"29.69,29.35,28.34,29.12,9001",29.69,29.35,28.34,29.12,9001
10,2019-08-01 12:39:18.326498,"29.72,29.35,28.30,29.12,10001",29.72,29.35,28.30,29.12,10001
11,2019-08-01 12:39:18.462419,"29.69,29.35,28.30,29.15,11001",29.69,29.35,28.30,29.15,11001
12,2019-08-01 12:39:18.628325,"29.72,29.32,28.27,29.12,12001",29.72,29.32,28.27,29.12,12001
13,2019-08-01 12:39:18.795236,"29.69,29.32,28.30,29.12,13001",29.69,29.32,28.30,29.12,13001
14,2019-08-01 12:39:18.964133,"29.72,29.35,28.30,29.08,14001",29.72,29.35,28.30,29.08,14001
15,2019-08-01 12:39:19.135039,"29.72,29.35,28.30,29.08,15001",29.72,29.35,28.30,29.08,15001
16,2019-08-01 12:39:19.298942,"29.69,29.35,28.30,29.08,16001",29.69,29.35,28.30,29.08,16001
17,2019-08-01 12:39:19.443860,"29.69,29.32,28.27,29.12,17001",29.69,29.32,28.27,29.12,17001
18,2019-08-01 12:39:19.585786,"29.69,29.32,28.30,29.12,18001",29.69,29.32,28.30,29.12,18001
19,2019-08-01 12:39:19.730696,"29.65,29.32,28.30,29.08,19001",29.65,29.32,28.30,29.08,19001
20,2019-08-01 12:39:19.879611,"29.69,29.32,28.30,29.08,20001",29.69,29.32,28.30,29.08,20001
21,2019-08-01 12:39:20.023531,"29.69,29.35,28.30,29.12,21001",29.69,29.35,28.30,29.12,21001
22,2019-08-01 12:39:20.168445,"29.72,29.32,28.30,29.05,22001",29.72,29.32,28.30,29.05,22001
23,2019-08-01 12:39:20.315362,"29.65,29.35,28.27,29.08,23001",29.65,29.35,28.27,29.08,23001
24,2019-08-01 12:39:20.455282,"29.69,29.35,28.30,29.08,24001",29.69,29.35,28.30,29.08,24001
25,2019-08-01 12:39:20.594202,"29.69,29.32,28.30,29.08,25001",29.69,29.32,28.30,29.08,25001
26,2019-08-01 12:39:20.739120,"29.69,29.35,28.30,29.08,26001",29.69,29.35,28.30,29.08,26001
27,2019-08-01 12:39:20.882040,"29.69,29.32,28.30,29.08,27001",29.69,29.32,28.30,29.08,27001
28,2019-08-01 12:39:21.024957,"29.65,29.32,28.27,29.08,28001",29.65,29.32,28.27,29.08,28001
29,2019-08-01 12:39:21.182867,"29.65,29.32,28.27,29.08,29001",29.65,29.32,28.27,29.08,29001
30,2019-08-01 12:39:21.321788,"29.65,29.32,28.27,29.08,30001",29.65,29.32,28.27,29.08,30001
31,2019-08-01 12:39:21.484701,"29.69,29.32,28.27,29.08,31001",29.69,29.32,28.27,29.08,31001
32,2019-08-01 12:39:21.643604,"29.69,29.32,28.30,29.08,32001",29.69,29.32,28.30,29.08,32001
33,2019-08-01 12:39:21.803512,"29.65,29.32,28.27,29.08,33001",29.65,29.32,28.27,29.08,33001
34,2019-08-01 12:39:21.967419,"29.65,29.32,28.30,29.08,34001",29.65,29.32,28.30,29.08,34001
35,2019-08-01 12:39:22.138321,"29.65,29.32,28.27,29.05,35001",29.65,29.32,28.27,29.05,35001
36,2019-08-01 12:39:22.296231,"29.65,29.32,28.27,29.08,36001",29.65,29.32,28.27,29.08,36001
37,2019-08-01 12:39:22.441149,"29.69,29.32,28.27,29.08,37001",29.69,29.32,28.27,29.08,37001
38,2019-08-01 12:39:22.594061,"29.65,29.32,28.27,29.08,38001",29.65,29.32,28.27,29.08,38001
39,2019-08-01 12:39:22.747974,"29.69,29.28,28.27,29.08,39001",29.69,29.28,28.27,29.08,39001
40,2019-08-01 12:39:22.895889,"29.69,28.71,28.27,29.05,40001",29.69,28.71,28.27,29.05,40001
41,2019-08-01 12:39:23.057797,"29.65,29.35,28.30,28.95,41001",29.65,29.35,28.30,28.95,41001
42,2019-08-01 12:39:23.205712,"29.65,29.35,28.27,28.85,42001",29.65,29.35,28.27,28.85,42001
43,2019-08-01 12:39:23.358631,"29.65,29.35,28.17,28.71,43001",29.65,29.35,28.17,28.71,43001
44,2019-08-01 12:39:23.508539,"29.65,29.39,28.03,28.65,44001",29.65,29.39,28.03,28.65,44001
45,2019-08-01 12:39:23.643466,"29.72,29.35,27.53,28.44,45001",29.72,29.35,27.53,28.44,45001
46,2019-08-01 12:39:23.793381,"29.82,29.42,26.82,28.21,46001",29.82,29.42,26.82,28.21,46001
47,2019-08-01 12:39:23.922302,"29.96,29.39,26.18,27.87,47001",29.96,29.39,26.18,27.87,47001
48,2019-08-01 12:39:24.063224,"30.06,29.42,25.64,27.57,48001",30.06,29.42,25.64,27.57,48001
49,2019-08-01 12:39:24.215136,"30.12,29.42,25.20,27.30,49001",30.12,29.42,25.20,27.30,49001
50,2019-08-01 12:39:24.381040,"30.19,29.42,24.83,27.09,50001",30.19,29.42,24.83,27.09,50001
51,2019-08-01 12:39:24.530955,"30.23,29.35,24.53,26.96,51001",30.23,29.35,24.53,26.96,51001
52,2019-08-01 12:39:24.699861,"30.23,29.32,24.32,26.89,52001",30.23,29.32,24.32,26.89,52001
53,2019-08-01 12:39:24.850778,"30.26,29.28,24.16,26.86,53001",30.26,29.28,24.16,26.86,53001
54,2019-08-01 12:39:25.009710,"30.23,29.28,24.02,26.86,54001",30.23,29.28,24.02,26.86,54001
55,2019-08-01 12:39:25.168595,"30.19,29.22,23.95,26.86,55001",30.19,29.22,23.95,26.86,55001
56,2019-08-01 12:39:25.328501,"30.12,29.18,23.82,26.89,56001",30.12,29.18,23.82,26.89,56001
57,2019-08-01 12:39:25.482413,"29.92,29.12,23.78,27.13,57001",29.92,29.12,23.78,27.13,57001
58,2019-08-01 12:39:25.613342,"29.75,28.98,23.75,27.33,58001",29.75,28.98,23.75,27.33,58001
59,2019-08-01 12:39:25.754257,"29.65,28.61,23.72,26.96,59001",29.65,28.61,23.72,26.96,59001
60,2019-08-01 12:39:25.892179,"29.69,28.30,23.65,26.42,60001",29.69,28.30,23.65,26.42,60001
61,2019-08-01 12:39:26.026104,"31.85,28.24,23.58,25.88,61001",31.85,28.24,23.58,25.88,61001
62,2019-08-01 12:39:26.163024,"37.43,28.57,23.58,25.57,62001",37.43,28.57,23.58,25.57,62001
63,2019-08-01 12:39:26.300947,"43.86,30.67,23.58,25.68,63001",43.86,30.67,23.58,25.68,63001
64,2019-08-01 12:39:26.436867,"49.60,35.30,23.62,26.18,64001",49.60,35.30,23.62,26.18,64001
65,2019-08-01 12:39:26.577788,"54.39,40.68,23.62,26.99,65001",54.39,40.68,23.62,26.99,65001
66,2019-08-01 12:39:26.720705,"58.27,45.63,23.68,27.87,66001",58.27,45.63,23.68,27.87,66001
67,2019-08-01 12:39:26.856627,"61.41,49.81,23.65,28.58,67001",61.41,49.81,23.65,28.58,67001
68,2019-08-01 12:39:26.994550,"63.86,53.17,23.62,29.15,68001",63.86,53.17,23.62,29.15,68001
69,2019-08-01 12:39:27.139467,"65.81,55.83,23.55,29.56,69001",65.81,55.83,23.55,29.56,69001
70,2019-08-01 12:39:27.271391,"67.41,57.90,23.55,29.90,70001",67.41,57.90,23.55,29.90,70001
71,2019-08-01 12:39:27.415309,"68.71,59.54,23.48,30.13,71001",68.71,59.54,23.48,30.13,71001
72,2019-08-01 12:39:27.570225,"69.67,60.80,23.45,30.30,72001",69.67,60.80,23.45,30.30,72001
73,2019-08-01 12:39:27.734127,"70.55,61.79,23.41,30.44,73001",70.55,61.79,23.41,30.44,73001
74,2019-08-01 12:39:27.907035,"71.27,62.57,23.38,30.54,74001",71.27,62.57,23.38,30.54,74001
75,2019-08-01 12:39:28.061940,"71.89,63.22,23.35,30.64,75001",71.89,63.22,23.35,30.64,75001
76,2019-08-01 12:39:28.219850,"72.37,63.73,23.35,30.74,76001",72.37,63.73,23.35,30.74,76001
77,2019-08-01 12:39:28.342779,"72.81,64.18,23.28,30.81,77001",72.81,64.18,23.28,30.81,77001
78,2019-08-01 12:39:28.444722,"73.15,64.52,23.28,30.87,78001",73.15,64.52,23.28,30.87,78001
79,2019-08-01 12:39:28.929444,"73.46,64.79,23.28,30.87,79001",73.46,64.79,23.28,30.87,79001
80,2019-08-01 12:39:29.920878,"73.70,65.03,23.28,30.94,80001",73.70,65.03,23.28,30.94,80001
81,2019-08-01 12:39:30.954289,"73.94,65.23,23.28,31.01,81001",73.94,65.23,23.28,31.01,81001
82,2019-08-01 12:39:31.904749,"74.11,65.44,23.28,31.11,82001",74.11,65.44,23.28,31.11,82001
83,2019-08-01 12:39:32.901177,"74.28,65.58,23.25,31.11,83001",74.28,65.58,23.25,31.11,83001
84,2019-08-01 12:39:33.897609,"74.38,65.71,23.25,31.18,84001",74.38,65.71,23.25,31.18,84001
85,2019-08-01 12:39:34.930020,"74.56,65.85,23.25,31.18,85001",74.56,65.85,23.25,31.18,85001
86,2019-08-01 12:39:35.927450,"74.66,66.02,23.28,31.25,86001",74.66,66.02,23.28,31.25,86001
87,2019-08-01 12:39:36.937874,"74.73,66.12,23.28,31.31,87001",74.73,66.12,23.28,31.31,87001
88,2019-08-01 12:39:37.907324,"74.76,66.19,23.31,31.31,88001",74.76,66.19,23.31,31.31,88001
89,2019-08-01 12:39:38.903751,"74.86,66.26,23.31,31.31,89001",74.86,66.26,23.31,31.31,89001
90,2019-08-01 12:39:39.951156,"74.93,66.33,23.31,31.38,90001",74.93,66.33,23.31,31.38,90001
91,2019-08-01 12:39:40.936591,"75.00,66.43,23.35,31.38,91001",75.00,66.43,23.35,31.38,91001
92,2019-08-01 12:39:41.909037,"75.03,66.46,23.35,31.45,92001",75.03,66.46,23.35,31.45,92001
93,2019-08-01 12:39:43.994846,"75.07,66.57,23.35,31.48,93001",75.07,66.57,23.35,31.48,93001
94,2019-08-01 12:39:44.135766,"75.10,66.60,23.38,31.52,94001",75.10,66.60,23.38,31.52,94001
95,2019-08-01 12:39:44.925316,"75.17,66.60,23.38,31.55,95001",75.17,66.60,23.38,31.55,95001
96,2019-08-01 12:39:45.934747,"75.14,66.67,23.38,31.55,96001",75.14,66.67,23.38,31.55,96001
97,2019-08-01 12:39:46.925173,"75.17,66.70,23.41,31.58,97001",75.17,66.70,23.41,31.58,97001
98,2019-08-01 12:39:47.946590,"75.21,66.74,23.48,31.62,98001",75.21,66.74,23.48,31.62,98001
99,2019-08-01 12:39:48.943023,"75.24,66.77,23.45,31.65,99001",75.24,66.77,23.45,31.65,99001
100,2019-08-01 12:39:49.933460,"75.21,66.77,23.48,31.65,100001",75.21,66.77,23.48,31.65,100001
101,2019-08-01 12:39:50.940887,"75.21,66.84,23.52,31.69,101001",75.21,66.84,23.52,31.69,101001
102,2019-08-01 12:39:51.956302,"75.21,66.80,23.52,31.69,102001",75.21,66.80,23.52,31.69,102001
103,2019-08-01 12:39:52.915754,"75.27,66.84,23.55,31.72,103001",75.27,66.84,23.55,31.72,103001
104,2019-08-01 12:39:53.936176,"75.27,66.87,23.55,31.75,104001",75.27,66.87,23.55,31.75,104001
105,2019-08-01 12:39:54.941604,"75.27,66.91,23.55,31.79,105001",75.27,66.91,23.55,31.79,105001
106,2019-08-01 12:39:55.957017,"75.27,66.91,23.58,31.79,106001",75.27,66.91,23.58,31.79,106001
107,2019-08-01 12:39:56.959446,"75.27,66.94,23.58,31.79,107001",75.27,66.94,23.58,31.79,107001
108,2019-08-01 12:39:57.933893,"75.31,66.94,23.58,31.82,108001",75.31,66.94,23.58,31.82,108001
109,2019-08-01 12:39:58.972299,"75.31,66.98,23.62,31.85,109001",75.31,66.98,23.62,31.85,109001
110,2019-08-01 12:39:59.969730,"75.31,66.98,23.65,31.89,110001",75.31,66.98,23.65,31.89,110001
111,2019-08-01 12:40:00.936176,"75.31,67.01,23.65,31.85,111001",75.31,67.01,23.65,31.85,111001
112,2019-08-01 12:40:01.962590,"75.31,67.01,23.68,31.92,112001",75.31,67.01,23.68,31.92,112001
113,2019-08-01 12:40:02.945030,"75.27,67.01,23.68,31.92,113001",75.27,67.01,23.68,31.92,113001
114,2019-08-01 12:40:03.976441,"75.27,66.98,23.72,31.99,114001",75.27,66.98,23.72,31.99,114001
115,2019-08-01 12:40:04.961885,"75.24,66.98,23.75,31.99,115001",75.24,66.98,23.75,31.99,115001
116,2019-08-01 12:40:05.957310,"75.27,66.98,23.75,31.96,116001",75.27,66.98,23.75,31.96,116001
117,2019-08-01 12:40:06.943748,"75.27,66.98,23.78,32.02,117001",75.27,66.98,23.78,32.02,117001
118,2019-08-01 12:40:07.943177,"75.27,66.98,23.78,32.02,118001",75.27,66.98,23.78,32.02,118001
119,2019-08-01 12:40:08.943609,"75.27,66.98,23.82,32.06,119001",75.27,66.98,23.82,32.06,119001
120,2019-08-01 12:40:09.963027,"75.27,67.01,23.82,32.09,120001",75.27,67.01,23.82,32.09,120001
121,2019-08-01 12:40:10.974447,"75.24,66.98,23.82,32.09,121001",75.24,66.98,23.82,32.09,121001
122,2019-08-01 12:40:11.954887,"75.21,66.98,23.89,32.13,122001",75.21,66.98,23.89,32.13,122001
123,2019-08-01 12:40:12.956315,"75.17,66.94,23.92,32.16,123001",75.17,66.94,23.92,32.16,123001
124,2019-08-01 12:40:13.971736,"75.24,66.98,23.92,32.19,124001",75.24,66.98,23.92,32.19,124001
125,2019-08-01 12:40:14.951176,"75.17,66.98,23.95,32.16,125001",75.17,66.98,23.95,32.16,125001
126,2019-08-01 12:40:15.969599,"75.17,66.98,23.99,32.23,126001",75.17,66.98,23.99,32.23,126001
127,2019-08-01 12:40:16.990013,"75.14,66.94,23.99,32.23,127001",75.14,66.94,23.99,32.23,127001
128,2019-08-01 12:40:17.960459,"75.14,66.91,23.99,32.26,128001",75.14,66.91,23.99,32.26,128001
129,2019-08-01 12:40:19.000865,"75.07,66.91,24.05,32.26,129001",75.07,66.91,24.05,32.26,129001
130,2019-08-01 12:40:19.964317,"75.07,66.87,24.05,32.29,130001",75.07,66.87,24.05,32.29,130001
131,2019-08-01 12:40:20.970741,"75.03,66.84,24.05,32.33,131001",75.03,66.84,24.05,32.33,131001
132,2019-08-01 12:40:21.994157,"75.03,66.80,24.09,32.33,132001",75.03,66.80,24.09,32.33,132001
133,2019-08-01 12:40:22.947613,"75.03,66.77,24.16,32.40,133001",75.03,66.77,24.16,32.40,133001
134,2019-08-01 12:40:23.987019,"75.00,66.77,24.16,32.40,134001",75.00,66.77,24.16,32.40,134001
135,2019-08-01 12:40:24.953468,"75.00,66.77,24.19,32.46,135001",75.00,66.77,24.19,32.46,135001
136,2019-08-01 12:40:25.993873,"74.97,66.77,24.22,32.46,136001",74.97,66.77,24.22,32.46,136001
137,2019-08-01 12:40:26.951328,"74.97,66.70,24.26,32.46,137001",74.97,66.70,24.26,32.46,137001
138,2019-08-01 12:40:27.960752,"74.93,66.70,24.26,32.50,138001",74.93,66.70,24.26,32.50,138001
139,2019-08-01 12:40:28.953185,"74.90,66.74,24.29,32.50,139001",74.90,66.74,24.29,32.50,139001
140,2019-08-01 12:40:29.994591,"74.90,66.70,24.32,32.56,140001",74.90,66.70,24.32,32.56,140001
141,2019-08-01 12:40:30.966037,"74.90,66.70,24.32,32.56,141001",74.90,66.70,24.32,32.56,141001
142,2019-08-01 12:40:31.957471,"74.90,66.70,24.39,32.63,142001",74.90,66.70,24.39,32.63,142001
143,2019-08-01 12:40:32.999876,"74.86,66.67,24.43,32.63,143001",74.86,66.67,24.43,32.63,143001
144,2019-08-01 12:40:34.006305,"74.83,66.67,24.43,32.67,144001",74.83,66.67,24.43,32.67,144001
145,2019-08-01 12:40:34.967752,"74.83,66.63,24.46,32.67,145001",74.83,66.63,24.46,32.67,145001
146,2019-08-01 12:40:36.006160,"74.83,66.67,24.49,32.70,146001",74.83,66.67,24.49,32.70,146001
147,2019-08-01 12:40:36.981610,"74.76,66.67,24.53,32.73,147001",74.76,66.67,24.53,32.73,147001
148,2019-08-01 12:40:37.971041,"74.73,66.63,24.53,32.77,148001",74.73,66.63,24.53,32.77,148001
149,2019-08-01 12:40:39.003451,"74.73,66.60,24.56,32.80,149001",74.73,66.60,24.56,32.80,149001
150,2019-08-01 12:40:40.003878,"74.69,66.60,24.59,32.77,150001",74.69,66.60,24.59,32.77,150001
151,2019-08-01 12:40:40.969326,"74.66,66.60,24.63,32.80,151001",74.66,66.60,24.63,32.80,151001
152,2019-08-01 12:40:42.013736,"74.66,66.57,24.63,32.84,152001",74.66,66.57,24.63,32.84,152001
153,2019-08-01 12:40:43.010162,"74.62,66.53,24.66,32.84,153001",74.62,66.53,24.66,32.84,153001
154,2019-08-01 12:40:44.026582,"74.59,66.53,24.69,32.87,154001",74.59,66.53,24.69,32.87,154001
155,2019-08-01 12:40:45.001025,"74.62,66.50,24.73,32.87,155001",74.62,66.50,24.73,32.87,155001
156,2019-08-01 12:40:46.019445,"74.56,66.50,24.73,32.90,156001",74.56,66.50,24.73,32.90,156001
157,2019-08-01 12:40:46.980903,"74.56,66.50,24.73,32.90,157001",74.56,66.50,24.73,32.90,157001
158,2019-08-01 12:40:47.987320,"74.56,66.46,24.76,32.90,158001",74.56,66.46,24.76,32.90,158001
159,2019-08-01 12:40:49.001742,"74.56,66.46,24.76,32.94,159001",74.56,66.46,24.76,32.94,159001
160,2019-08-01 12:40:49.988178,"74.52,66.46,24.76,32.94,160001",74.52,66.46,24.76,32.94,160001
161,2019-08-01 12:40:51.008599,"74.49,66.46,24.80,32.94,161001",74.49,66.46,24.80,32.94,161001
162,2019-08-01 12:40:52.020019,"74.45,66.46,24.86,32.94,162001",74.45,66.46,24.86,32.94,162001
163,2019-08-01 12:40:53.023446,"74.49,66.43,24.86,32.94,163001",74.49,66.43,24.86,32.94,163001
164,2019-08-01 12:40:54.028872,"74.45,66.43,24.86,33.00,164001",74.45,66.43,24.86,33.00,164001
165,2019-08-01 12:40:54.998326,"74.45,66.43,24.86,33.00,165001",74.45,66.43,24.86,33.00,165001
166,2019-08-01 12:40:56.028730,"74.45,66.46,24.93,33.04,166001",74.45,66.46,24.93,33.04,166001
167,2019-08-01 12:40:56.987184,"74.45,66.43,24.93,33.04,167001",74.45,66.43,24.93,33.04,167001
168,2019-08-01 12:40:57.993609,"74.42,66.39,24.96,33.07,168001",74.42,66.39,24.96,33.07,168001
169,2019-08-01 12:40:59.015029,"74.42,66.43,24.96,33.11,169001",74.42,66.43,24.96,33.11,169001
170,2019-08-01 12:41:00.024450,"74.38,66.43,25.03,33.11,170001",74.38,66.43,25.03,33.11,170001
171,2019-08-01 12:41:01.028877,"74.35,66.39,25.03,33.11,171001",74.35,66.39,25.03,33.11,171001
172,2019-08-01 12:41:01.996324,"74.32,66.39,25.07,33.14,172001",74.32,66.39,25.07,33.14,172001
173,2019-08-01 12:41:02.998753,"74.32,66.39,25.13,33.17,173001",74.32,66.39,25.13,33.17,173001
174,2019-08-01 12:41:04.003179,"74.28,66.39,25.13,33.17,174001",74.28,66.39,25.13,33.17,174001
175,2019-08-01 12:41:05.028594,"74.25,66.36,25.13,33.17,175001",74.25,66.36,25.13,33.17,175001
176,2019-08-01 12:41:05.994042,"74.21,66.36,25.17,33.24,176001",74.21,66.36,25.17,33.24,176001
177,2019-08-01 12:41:07.053439,"74.21,66.39,25.17,33.34,177001",74.21,66.39,25.17,33.34,177001
178,2019-08-01 12:41:07.996902,"74.18,66.39,25.20,33.41,178001",74.18,66.39,25.20,33.41,178001
179,2019-08-01 12:41:09.001327,"74.11,66.43,25.23,33.51,179001",74.11,66.43,25.23,33.51,179001
180,2019-08-01 12:41:10.007754,"74.11,66.43,25.27,33.61,180001",74.11,66.43,25.27,33.61,180001
181,2019-08-01 12:41:11.008180,"74.11,66.39,25.27,33.65,181001",74.11,66.39,25.27,33.65,181001
182,2019-08-01 12:41:12.007611,"74.08,66.39,25.27,33.61,182001",74.08,66.39,25.27,33.61,182001
183,2019-08-01 12:41:13.018039,"74.04,66.36,25.30,33.55,183001",74.04,66.36,25.30,33.55,183001
184,2019-08-01 12:41:14.032456,"74.04,66.29,25.37,33.51,184001",74.04,66.29,25.37,33.51,184001
185,2019-08-01 12:41:15.029886,"74.01,66.26,25.37,33.51,185001",74.01,66.26,25.37,33.51,185001
186,2019-08-01 12:41:16.028316,"73.94,66.26,25.40,33.51,186001",73.94,66.26,25.40,33.51,186001
187,2019-08-01 12:41:17.008762,"73.91,66.19,25.44,33.48,187001",73.91,66.19,25.44,33.48,187001
188,2019-08-01 12:41:18.041167,"73.87,66.16,25.44,33.44,188001",73.87,66.16,25.44,33.44,188001
189,2019-08-01 12:41:19.045594,"73.84,66.16,25.44,33.44,189001",73.84,66.16,25.44,33.44,189001
190,2019-08-01 12:41:20.014041,"73.80,66.12,25.47,33.48,190001",73.80,66.12,25.47,33.48,190001
191,2019-08-01 12:41:21.016475,"73.77,66.12,25.50,33.44,191001",73.77,66.12,25.50,33.44,191001
192,2019-08-01 12:41:22.034888,"73.77,66.09,25.57,33.48,192001",73.77,66.09,25.57,33.48,192001
193,2019-08-01 12:41:23.047310,"73.77,66.09,25.61,33.48,193001",73.77,66.09,25.61,33.48,193001
194,2019-08-01 12:41:24.017764,"73.73,66.05,25.64,33.55,194001",73.73,66.05,25.64,33.55,194001
195,2019-08-01 12:41:25.042174,"73.70,66.05,25.67,33.58,195001",73.70,66.05,25.67,33.58,195001
196,2019-08-01 12:41:26.027610,"73.67,66.05,25.64,33.58,196001",73.67,66.05,25.64,33.58,196001
197,2019-08-01 12:41:27.016045,"73.67,66.02,25.71,33.58,197001",73.67,66.02,25.71,33.58,197001
198,2019-08-01 12:41:28.046457,"73.63,65.99,25.74,33.61,198001",73.63,65.99,25.74,33.61,198001
199,2019-08-01 12:41:29.040889,"73.60,66.02,25.74,33.65,199001",73.60,66.02,25.74,33.65,199001
200,2019-08-01 12:41:30.029324,"73.56,65.95,25.74,33.61,200001",73.56,65.95,25.74,33.61,200001
201,2019-08-01 12:41:31.048745,"73.56,65.95,25.77,33.65,201001",73.56,65.95,25.77,33.65,201001
202,2019-08-01 12:41:32.081165,"73.53,65.95,25.77,33.68,202001",73.53,65.95,25.77,33.68,202001
203,2019-08-01 12:41:33.024614,"73.53,65.92,25.81,33.68,203001",73.53,65.92,25.81,33.68,203001
204,2019-08-01 12:41:34.073016,"73.49,65.92,25.77,33.68,204001",73.49,65.92,25.77,33.68,204001
205,2019-08-01 12:41:35.030470,"73.46,65.88,25.81,33.71,205001",73.46,65.88,25.81,33.71,205001
206,2019-08-01 12:41:36.036895,"73.43,65.88,25.84,33.71,206001",73.43,65.88,25.84,33.71,206001
207,2019-08-01 12:41:37.029328,"73.43,65.85,25.84,33.71,207001",73.43,65.85,25.84,33.71,207001
208,2019-08-01 12:41:38.039752,"73.39,65.81,25.84,33.71,208001",73.39,65.81,25.84,33.71,208001
209,2019-08-01 12:41:39.047177,"73.39,65.81,25.88,33.75,209001",73.39,65.81,25.88,33.75,209001
210,2019-08-01 12:41:40.038611,"73.43,65.81,25.91,33.75,210001",73.43,65.81,25.91,33.75,210001
211,2019-08-01 12:41:41.042040,"73.43,65.81,25.91,33.75,211001",73.43,65.81,25.91,33.75,211001
212,2019-08-01 12:41:42.036471,"73.39,65.81,25.94,33.78,212001",73.39,65.81,25.94,33.78,212001
213,2019-08-01 12:41:43.046894,"73.36,65.81,25.98,33.78,213001",73.36,65.81,25.98,33.78,213001
214,2019-08-01 12:41:44.036332,"73.32,65.85,26.01,33.85,214001",73.32,65.85,26.01,33.85,214001
215,2019-08-01 12:41:45.037766,"73.29,65.78,26.04,33.82,215001",73.29,65.78,26.04,33.82,215001
216,2019-08-01 12:41:46.033195,"73.26,65.78,26.04,33.85,216001",73.26,65.78,26.04,33.85,216001
217,2019-08-01 12:41:47.046611,"73.26,65.78,26.04,33.82,217001",73.26,65.78,26.04,33.82,217001
218,2019-08-01 12:41:48.051037,"73.22,65.75,26.08,33.85,218001",73.22,65.75,26.08,33.85,218001
219,2019-08-01 12:41:49.050468,"73.15,65.71,26.08,33.85,219001",73.15,65.71,26.08,33.85,219001
220,2019-08-01 12:41:50.059892,"73.19,65.68,26.11,33.92,220001",73.19,65.68,26.11,33.92,220001
221,2019-08-01 12:41:51.052329,"73.08,65.68,26.15,33.88,221001",73.08,65.68,26.15,33.88,221001
222,2019-08-01 12:41:52.060750,"73.05,65.61,26.15,33.88,222001",73.05,65.61,26.15,33.88,222001
223,2019-08-01 12:41:53.075170,"73.05,65.64,26.15,33.88,223001",73.05,65.64,26.15,33.88,223001
224,2019-08-01 12:41:54.057609,"73.02,65.58,26.15,33.92,224001",73.02,65.58,26.15,33.92,224001
225,2019-08-01 12:41:55.106015,"73.02,65.54,26.18,33.92,225001",73.02,65.54,26.18,33.92,225001
226,2019-08-01 12:41:56.092449,"72.98,65.54,26.21,33.92,226001",72.98,65.54,26.21,33.92,226001
227,2019-08-01 12:41:57.070891,"72.95,65.51,26.18,33.95,227001",72.95,65.51,26.18,33.95,227001
228,2019-08-01 12:41:58.071319,"72.95,65.51,26.18,33.95,228001",72.95,65.51,26.18,33.95,228001
229,2019-08-01 12:41:59.093735,"72.91,65.47,26.28,33.95,229001",72.91,65.47,26.28,33.95,229001
230,2019-08-01 12:42:00.088167,"72.88,65.47,26.28,33.98,230001",72.88,65.47,26.28,33.98,230001
231,2019-08-01 12:42:01.095592,"72.84,65.47,26.31,33.98,231001",72.84,65.47,26.31,33.98,231001
232,2019-08-01 12:42:02.092024,"72.84,65.44,26.31,34.02,232001",72.84,65.44,26.31,34.02,232001
233,2019-08-01 12:42:03.102451,"72.84,65.44,26.31,34.05,233001",72.84,65.44,26.31,34.05,233001
234,2019-08-01 12:42:04.100877,"72.84,65.44,26.35,34.05,234001",72.84,65.44,26.35,34.05,234001
235,2019-08-01 12:42:05.058330,"72.84,65.44,26.38,34.09,235001",72.84,65.44,26.38,34.09,235001
236,2019-08-01 12:42:06.091741,"72.88,65.44,26.42,34.09,236001",72.88,65.44,26.42,34.09,236001
237,2019-08-01 12:42:07.106166,"72.84,65.44,26.38,34.09,237001",72.84,65.44,26.38,34.09,237001
238,2019-08-01 12:42:08.103593,"72.81,65.44,26.42,34.12,238001",72.81,65.44,26.42,34.12,238001
239,2019-08-01 12:42:09.101029,"72.81,65.44,26.42,34.15,239001",72.81,65.44,26.42,34.15,239001
240,2019-08-01 12:42:10.105450,"72.78,65.44,26.45,34.15,240001",72.78,65.44,26.45,34.15,240001
241,2019-08-01 12:42:11.068907,"72.78,65.44,26.45,34.15,241001",72.78,65.44,26.45,34.15,241001
242,2019-08-01 12:42:12.089317,"72.81,65.40,26.45,34.15,242001",72.81,65.40,26.45,34.15,242001
243,2019-08-01 12:42:13.093744,"72.74,65.40,26.45,34.15,243001",72.74,65.40,26.45,34.15,243001
